Conjunto;Numero_variables;R2_media;R2_mediana;R2_std;R2_min;R2_max;Porcentaje_R2_positivo;MAE_media;RMSE_media;R2_OOF_promedio
Base_viento_deltaT;12;0.08716449745919723;0.13833813012446722;0.10040647273378234;-0.062295191484502466;0.19529698372566007;70.0;1.8601398320117846;2.195089427488764;0.11705410174617448
Base_sin_Hs;8;0.06735969780953813;0.0963291242807559;0.11406103993254163;-0.2053466610002439;0.20509127379116343;80.0;1.8075777822640096;2.21823851049777;0.10545843338684402
Base_meteo_completa;13;0.05648351537651895;0.10660754054519567;0.11563432473934424;-0.15834932170856475;0.1976358268189019;70.0;1.8683675878132515;2.231017697394029;0.091231209712476
Base_mas_viento;10;0.046912010417762204;0.09527858418496815;0.1257981297679018;-0.21936828644064232;0.19135659350862344;70.0;1.8652573952125422;2.2417839349614463;0.0849159486229043
Base_mas_viento_max;11;0.028586977092718104;0.07364521431085747;0.12899154537906257;-0.23715656726142353;0.19208442767213707;70.0;1.8891513258390453;2.2631427193428713;0.06593824230933965
