fecha;Viento_prom_ms;Viento_max_ms;Dir_viento_deg;T_aire_C;Punto_rocio_C;Hs_m;Ts_s;Tp_s;Dir_deg;T_agua;Hmax_m;hora_utc_usada;hora_objetivo_utc;Q_m3s;nivel_rel_m;marea_estado;area_km2;marea_subiendo
2025-03-03;3.0;4.0;215;15.3;12.8;1.26;14.0;14.3;239.8;16.65;2.35;13;13;41.898;-0.181;subiendo;1.548;1
2025-03-08;7.4;8.7;226;14.2;11.3;1.94;7.7;7.4;231.8;14.07;3.04;13;13;41.898;-0.033;bajamar;1.561;0
2025-03-13;2.2;3.0;6;15.1;13.1;1.71;8.3;9.1;225.8;14.29;2.95;13;13;35.0;0.373;subiendo;2.097;1
2025-03-18;4.5;6.0;222;15.3;13.1;2.68;10.5;15.4;227.5;14.77;4.5;13;13;36.472;0.017;subiendo;1.453;1
2025-03-23;2.5;3.7;325;13.6;12.2;3.36;10.5;10.0;223.8;14.03;6.5;13;13;41.099;-0.045;bajamar;0.838;0
2025-04-02;5.8;7.1;230;12.3;10.3;1.88;8.5;18.2;234.7;12.81;2.71;14;14;51.221;-0.197;subiendo;12.068;1
2025-04-07;4.7;6.1;242;13.4;11.1;1.41;10.0;10.5;246.9;14.07;2.33;14;14;51.221;-0.004;bajando;4.736;0
2025-04-12;5.1;6.2;227;11.9;7.7;2.02;9.8;12.5;226.2;12.79;3.15;14;14;46.017;0.54;pleamar;6.124;0
2025-04-19;0.2;1.6;59;12.1;9.4;1.83;9.6;11.1;219.5;12.5;2.65;14;14;44.336;0.059;subiendo;0.075;1
2025-04-27;6.7;8.1;223;12.4;8.8;2.2;8.9;10.0;237.4;12.99;4.28;14;14;53.023;0.806;pleamar;3.736;0
2025-05-02;4.6;5.8;211;12.5;9.8;3.36;13.5;14.3;234.0;12.38;5.1;14;14;51.221;0.027;subiendo;3.669;1
2025-05-27;8.0;9.2;182;10.4;6.8;2.55;10.8;13.3;241.7;13.6;4.94;14;14;109.422;0.889;pleamar;7.515;0
2025-06-01;5.0;6.3;204;10.4;6.0;2.4;11.0;14.3;232.0;11.83;3.75;14;14;76.019;-0.105;subiendo;6.964;1
2025-06-18;6.8;8.0;195;10.7;8.1;1.77;10.0;11.1;236.9;12.78;2.47;14;14;95.611;-0.186;subiendo;9.092;1
2025-06-26;5.5;6.9;202;8.5;4.7;2.64;12.1;14.3;226.9;12.57;4.53;14;14;83.826;0.81;subiendo;6.304;1
2025-07-01;3.9;4.7;188;8.2;4.5;1.52;13.2;15.4;245.8;11.6;2.62;14;14;77.096;-0.276;subiendo;5.255;1
