Conjunto;Modelo;Numero_variables;Usa_viento;Complejidad_modelo;R2_media;R2_mediana;R2_std;R2_min;R2_max;Porcentaje_R2_positivo;MAE_media;RMSE_media;R2_pred_promedio
Fisico_Hmax;RF_regularizado;7;False;1;0.07196988371178263;0.07723886756247561;0.08808225922086328;-0.1826259366560934;0.20966068896658985;80.0;1.7789809549410402;2.2139555308432146;0.10883406346485314
Fisico_Hmax_Tagua;RF_regularizado;8;False;1;0.06408833025471863;0.07617114040849038;0.09265363556226072;-0.21011379763744809;0.20746469346984908;80.0;1.8186135685138214;2.223155287714833;0.10245919753171862
Fisico_Hs;RF_regularizado;7;False;1;0.06404522296070729;0.06785041692763738;0.08585810273874228;-0.15578080081840007;0.19329321083673412;80.0;1.7934580550170232;2.223500928158143;0.10307281854425066
Fisico_Hs_Tagua;RF_regularizado;8;False;1;0.05740805392624051;0.06626075057713754;0.09035189063164502;-0.19000911037512225;0.19216057742507675;80.0;1.8298287791482912;2.231192149194926;0.09769291519886847
Fisico_Hmax;RF_original;7;False;3;0.04706141641007724;0.046580513971414717;0.10510149418035727;-0.22045237613552215;0.24350167329331485;70.0;1.7741470375000012;2.2425775315183962;0.09685559403243693
Fisico_Hmax_Tagua;RF_original;8;False;3;0.042147923724134916;0.050929569933088725;0.1104304459692726;-0.28426319096234653;0.22459125236928823;75.0;1.8049022781250013;2.248155097945359;0.09007972530073416
Fisico_Hmax_Viento;RF_regularizado;10;True;1;0.03478751922272752;0.05703098092425818;0.1025642947100372;-0.2196078598922162;0.21783183963418007;70.0;1.8560489730053888;2.257257800786307;0.07221181612654382
Fisico_Hmax;RF_intermedio;7;False;2;0.03422510935713607;0.03216487355812975;0.1007929431806369;-0.23121663371744794;0.21397668326981656;65.0;1.8110059183754967;2.257986458762362;0.07713554363906494
Fisico_Hmax_Tagua_Viento;RF_regularizado;11;True;1;0.03126392469360599;0.05725394378717258;0.09821188981093128;-0.2319688151806676;0.19263970270857156;65.0;1.889921101507824;2.2616444881022195;0.06736535195041016
Fisico_Hs;RF_original;7;False;3;0.02989006894595621;0.035328290053135925;0.10276981945500571;-0.20837517549710527;0.20409207002664476;60.0;1.7993516625000012;2.2629243346489476;0.0851420938979065
Fisico_Hmax_Tagua;RF_intermedio;8;False;2;0.029152688224730855;0.036461702700847365;0.10409787692814133;-0.27293354702242234;0.2015766887050474;70.0;1.8395891854203874;2.263811806007136;0.07307805880399976
Fisico_Hs_Tagua;RF_original;8;False;3;0.02761623530735865;0.04646459589623947;0.10691515077043595;-0.26848557569872655;0.187614232005216;70.0;1.8301787375000012;2.2654320064348634;0.07963099384194439
Fisico_Hs;RF_intermedio;7;False;2;0.02655793442081767;0.01972018754832544;0.09620182598054536;-0.20678784039452247;0.18405621989268772;55.00000000000001;1.8257561205233137;2.2672166453997615;0.07393756543015129
Fisico_Hs_Tagua;RF_intermedio;8;False;2;0.018243297262367043;0.034116560676618835;0.09876033213682472;-0.2551577634280153;0.1738227243724021;65.0;1.8612806887574411;2.276835937168877;0.06465971770317414
Fisico_Hmax_Viento;RF_original;10;True;3;0.013829577105410778;0.012984787229690486;0.11109694142784826;-0.2504228367051904;0.2242398133322735;65.0;1.8586746906250002;2.2812020778396973;0.06117944824608901
Fisico_Hmax_Tagua_Viento;RF_original;11;True;3;0.011985194348194932;0.03191323221025877;0.11016663068464987;-0.2887100463747765;0.19861721881419392;60.0;1.8864322968749998;2.2834772265318954;0.05860396755320041
Fisico_Hmax_Tagua_Viento;RF_intermedio;11;True;2;0.009730455276376098;0.036598643629327576;0.1015324500731945;-0.2656190017516926;0.17999845077732968;60.0;1.9065604340042168;2.286584836001799;0.050340126204015845
Fisico_Hmax_Viento;RF_intermedio;10;True;2;0.008988480727279025;0.01751271559146228;0.1069912100625595;-0.24451369290523828;0.19705534797656798;60.0;1.8752434070399304;2.2870954862275035;0.052237729427260904
