fecha;Hs_m;Ts_s;Tp_s;Dir_deg;T_agua;Hmax_m;hora_utc_usada;Q_m3s;hora_usada;area_km2
19-11-2023;2.08;10.2;11.8;220.8;12.7;3.01;13;122.714;10:00;9.854
29-11-2023;1.87;7.9;8.7;226.7;13.07;3.22;13;235.764;10:00;9.256
09-12-2023;1.87;8.3;8.7;216.8;12.69;2.97;13;202.489;10:00;5.262
08-01-2024;1.88;7.4;15.4;231.9;15.49;2.76;18;211.042;10:00;8.282
18-01-2024;2.2;8.4;13.3;223.3;13.54;3.59;13;149.841;10:00;7.828
02-02-2024;1.83;9.1;12.5;216.4;19;2.91;13;124.081;10:00;8.855
12-02-2024;2.07;9.5;12.5;225;16.32;2.91;13;88.437;10:00;8.191
03-03-2024;2.13;8.8;9.5;216.1;16.47;3.12;13;51.221;10:00;3.223
08-03-2024;1.3;10.4;12.5;222.2;17.84;2.29;13;47.697;10:00;6.253
13-03-2024;2.5;8.9;11.1;242.8;14.78;4.24;13;43.496;10:00;3.96
07-04-2024;1.72;9.7;15.4;223.5;12.94;3.25;14;38.744;10:00;6.777
17-04-2024;2.2;13.3;14.3;223.2;13.69;3.75;14;37.229;10:00;3.43
27-04-2024;3.18;12.6;13.3;224.3;12.88;4.34;14;35;10:00;3.297
23-11-2024;1.85;12.2;14.3;238.5;12.69;2.56;13;119.979;10:00;8.007
28-11-2024;1.65;7.7;6.3;225.2;12.63;2.48;13;125.449;10:00;11.031
13-12-2024;1.68;7.5;7.1;226.4;13.37;2.66;13;89.627;10:00;6.807
17-01-2025;2.27;8.9;11.8;236.5;14.65;3.39;13;61.513;10:00;4.634
06-02-2025;1.74;7.2;7.4;229.7;13.19;2.88;13;41.898;10:00;2.895
03-03-2025;1.26;14;14.3;239.8;16.65;2.35;13;41.898;10:00;1.977
08-03-2025;1.94;7.7;7.4;231.8;14.07;3.04;13;41.898;10:00;4.608
18-03-2025;2.68;10.5;15.4;227.5;14.77;4.5;13;36.472;10:00;2.502
07-04-2025;1.41;10;10.5;246.9;14.07;2.33;14;51.221;10:00;5.24
12-04-2025;2.02;9.8;12.5;226.2;12.79;3.15;14;46.017;10:00;7.514
27-04-2025;2.2;8.9;10;237.4;12.99;4.28;14;53.023;10:00;4.728
02-05-2025;3.36;13.5;14.3;234;12.38;5.1;14;51.221;10:00;7.099
27-05-2025;2.55;10.8;13.3;241.7;13.6;4.94;14;109.422;10:00;9.011
01-06-2025;2.4;11;14.3;232;11.83;3.75;14;76.019;10:00;8.346
18-06-2025;1.77;10;11.1;236.9;12.78;2.47;14;95.611;10:00;9.715
26-06-2025;2.64;12.1;14.3;226.9;12.57;4.53;14;83.826;10:00;8.714
01-07-2025;1.52;13.2;15.4;245.8;11.6;2.62;14;77.096;10:00;8.176
16-07-2025;2.14;9;13.3;235.2;11.83;2.98;15;72.786;10:00;6.585
20-08-2025;1.63;10.7;9.5;245.3;13.45;2.43;14;62.513;10:00;6.759
25-08-2025;2.6;9.1;12.5;229.4;12.97;4.28;14;90.816;10:00;8.12
04-09-2025;2.23;9.1;14.3;230.8;12.35;3.38;14;74.941;10:00;6.177
09-09-2025;1.01;13;15.4;259.6;12.74;1.92;14;68.592;10:00;4.744
06-10-2025;2.61;9.5;13.3;233.3;11.98;4.03;13;74.941;10:00;3.883
26-10-2025;2.23;9.1;13.3;227.9;11.59;3.47;13;31.466;10:00;4.29
23-12-2025;1.17;6.3;5.4;224;13.68;1.91;13;21.072;10:00;1.231
25-12-2025;2.21;8.1;8.3;218.6;12.32;3.28;13;16.596;10:00;2.722
17-01-2026;2.46;9.1;9.5;216.5;14.44;3.74;13;15.239;10:00;1.394
